uuid,issuer_rfc,receiver_rfc,issue_date,subtotal,iva,total,concepto_text,uso_cfdi,forma_pago,metodo_pago,status
INV-00001,LCS191218CLB,EMP920101AB1,2025-12-21,51563.41,8250.15,59813.56,Servicios y suministros operativos de consultoria,G02,03,PPD,vigente
INV-00002,COI1307048VV,EMP920101AB1,2025-08-21,73048.74,11687.8,84736.54,Servicios y suministros operativos de mantenimiento industrial,G03,03,PPD,vigente
INV-00003,LOA9810282R6,EMP920101AB1,2026-01-26,103417.55,16546.81,119964.36,Servicios y suministros operativos de papeleria y suministros,I04,03,PUE,vigente
INV-00004,SBS220614WTP,EMP920101AB1,2025-02-21,61694.79,9871.17,71565.96,Servicios y suministros operativos de mantenimiento industrial,I08,03,PPD,vigente
INV-00005,ASG180804JCA,EMP920101AB1,2025-01-28,60261.37,9641.82,69903.19,Servicios y suministros operativos de seguridad privada,I02,03,PUE,vigente
INV-00006,SOI210318BNU,EMP920101AB1,2025-06-24,93987.84,15038.05,109025.89,Servicios y suministros operativos de servicios legales y fiscales,G02,03,PPD,vigente
INV-00007,MAN1106273JJ,EMP920101AB1,2025-12-18,110208.49,17633.36,127841.85,Servicios y suministros operativos de logistica y transporte,G01,03,PUE,vigente
INV-00008,AGS950728BSG,EMP920101AB1,2025-11-07,141133.17,22581.31,163714.48,Servicios y suministros operativos de capacitacion y recursos humanos,I02,02,PUE,vigente
INV-00009,DIC140621TZ4,EMP920101AB1,2025-06-06,178355.16,28536.83,206891.99,Servicios y suministros operativos de consultoria,I02,02,PUE,vigente
INV-00010,SIS1608280Y9,EMP920101AB1,2025-05-16,118209.98,18913.6,137123.58,Servicios y suministros operativos de servicios legales y fiscales,I04,03,PUE,vigente
INV-00011,TEG12050461F,EMP920101AB1,2025-11-01,89333.11,14293.3,103626.41,Servicios y suministros operativos de seguridad privada,I01,03,PUE,vigente
INV-00012,MAN1106273JJ,EMP920101AB1,2025-05-16,128418.51,20546.96,148965.47,Servicios y suministros operativos de logistica y transporte,I08,02,PUE,vigente
INV-00013,LAS130702FAP,EMP920101AB1,2025-02-06,151394.14,24223.06,175617.2,Servicios y suministros operativos de capacitacion y recursos humanos,G01,03,PPD,vigente
INV-00014,AES221206YKY,EMP920101AB1,2025-05-20,81413.91,13026.23,94440.14,Servicios y suministros operativos de seguridad privada,I02,02,PPD,vigente
INV-00015,SBS220614WTP,EMP920101AB1,2025-02-16,56310.7,9009.71,65320.41,Servicios y suministros operativos de mantenimiento industrial,G02,02,PUE,vigente
INV-00016,ASE18072017J,EMP920101AB1,2025-05-23,122499.07,19599.85,142098.92,Servicios y suministros operativos de limpieza y gestion de instalaciones,G02,02,PPD,vigente
INV-00017,SOI210318BNU,EMP920101AB1,2025-06-20,72413.57,11586.17,83999.74,Servicios y suministros operativos de servicios legales y fiscales,G03,03,PUE,vigente
INV-00018,COG230225QF8,EMP920101AB1,2025-08-21,105765.94,16922.55,122688.49,Servicios y suministros operativos de servicios legales y fiscales,G01,03,PPD,vigente
INV-00019,MAE970208NF4,EMP920101AB1,2026-02-27,157710.25,25233.64,182943.89,Servicios y suministros operativos de sistemas y ti,G01,02,PPD,vigente
INV-00020,COI2002246TY,EMP920101AB1,2025-01-27,87936.76,14069.88,102006.64,Servicios y suministros operativos de logistica y transporte,G02,03,PUE,vigente
INV-00021,SOI210318BNU,EMP920101AB1,2025-11-19,35035.3,5605.65,40640.95,Servicios y suministros operativos de servicios legales y fiscales,I02,03,PUE,vigente
