alert_id,alert_type,is_sar,tran_id,orig_acct,bene_acct,tx_type,base_amt,tran_timestamp
2,fan_in,True,23,424,38,TRANSFER,615.19,2017-01-01T00:00:00Z
0,fan_in,True,193,1238,9,TRANSFER,335.76,2017-01-01T00:00:00Z
1,fan_in,True,222,108,53,TRANSFER,411.4,2017-01-01T00:00:00Z
4,fan_out,True,8516,349,1187,TRANSFER,678.05,2017-02-07T00:00:00Z
0,fan_in,True,10914,93,9,TRANSFER,556.89,2017-02-17T00:00:00Z
1,fan_in,True,15775,731,53,TRANSFER,329.77,2017-03-10T00:00:00Z
7,cycle,True,15936,24,1167,TRANSFER,879.24,2017-03-11T00:00:00Z
7,cycle,True,16423,593,1393,TRANSFER,942.75,2017-03-13T00:00:00Z
7,cycle,True,16788,1393,176,TRANSFER,131.51,2017-03-15T00:00:00Z
9,cycle,True,17358,55,220,TRANSFER,871.31,2017-03-17T00:00:00Z
7,cycle,True,17361,295,593,TRANSFER,540.77,2017-03-17T00:00:00Z
9,cycle,True,17451,912,1228,TRANSFER,579.96,2017-03-18T00:00:00Z
9,cycle,True,17452,1228,55,TRANSFER,913.17,2017-03-18T00:00:00Z
2,fan_in,True,17560,867,38,TRANSFER,445.94,2017-03-18T00:00:00Z
7,cycle,True,17952,176,978,TRANSFER,422.15,2017-03-20T00:00:00Z
9,cycle,True,18098,49,757,TRANSFER,549.75,2017-03-20T00:00:00Z
7,cycle,True,18113,1167,295,TRANSFER,379.25,2017-03-21T00:00:00Z
7,cycle,True,18114,978,24,TRANSFER,835.5,2017-03-21T00:00:00Z
9,cycle,True,18201,757,912,TRANSFER,771.68,2017-03-21T00:00:00Z
9,cycle,True,18997,241,1311,TRANSFER,215.54,2017-03-24T00:00:00Z
9,cycle,True,19245,1140,49,TRANSFER,505.8,2017-03-25T00:00:00Z
5,fan_out,True,19808,117,97,TRANSFER,896.52,2017-03-28T00:00:00Z
9,cycle,True,20017,1311,1140,TRANSFER,296.88,2017-03-29T00:00:00Z
9,cycle,True,20419,220,241,TRANSFER,777.09,2017-03-31T00:00:00Z
3,fan_out,True,21439,328,402,TRANSFER,417.83,2017-04-04T00:00:00Z
0,fan_in,True,21712,1131,9,TRANSFER,172.5,2017-04-05T00:00:00Z
3,fan_out,True,27891,328,1055,TRANSFER,328.53,2017-05-02T00:00:00Z
3,fan_out,True,31040,328,1059,TRANSFER,724.45,2017-05-16T00:00:00Z
1,fan_in,True,31186,8,53,TRANSFER,387.11,2017-05-17T00:00:00Z
0,fan_in,True,32518,394,9,TRANSFER,997.92,2017-05-22T00:00:00Z
6,cycle,True,33410,348,796,TRANSFER,523.75,2017-05-26T00:00:00Z
6,cycle,True,33453,1264,154,TRANSFER,311.76,2017-05-27T00:00:00Z
6,cycle,True,33945,154,244,TRANSFER,437.99,2017-05-29T00:00:00Z
6,cycle,True,35008,244,348,TRANSFER,242.29,2017-06-02T00:00:00Z
2,fan_in,True,35020,331,38,TRANSFER,888.29,2017-06-02T00:00:00Z
6,cycle,True,35719,796,128,TRANSFER,572.31,2017-06-05T00:00:00Z
6,cycle,True,35720,128,1264,TRANSFER,450.76,2017-06-05T00:00:00Z
3,fan_out,True,36274,328,699,TRANSFER,141.42,2017-06-08T00:00:00Z
5,fan_out,True,38073,117,616,TRANSFER,308.52,2017-06-16T00:00:00Z
5,fan_out,True,38845,117,722,TRANSFER,781.66,2017-06-19T00:00:00Z
3,fan_out,True,39891,328,644,TRANSFER,123.22,2017-06-24T00:00:00Z
0,fan_in,True,43273,559,9,TRANSFER,389.64,2017-07-08T00:00:00Z
3,fan_out,True,46803,328,463,TRANSFER,608.05,2017-07-24T00:00:00Z
1,fan_in,True,46899,894,53,TRANSFER,500.66,2017-07-24T00:00:00Z
4,fan_out,True,48182,349,1007,TRANSFER,312.52,2017-07-30T00:00:00Z
2,fan_in,True,52236,177,38,TRANSFER,659.81,2017-08-17T00:00:00Z
0,fan_in,True,53889,1416,9,TRANSFER,134.47,2017-08-24T00:00:00Z
3,fan_out,True,55641,328,831,TRANSFER,621.09,2017-09-01T00:00:00Z
4,fan_out,True,56106,349,62,TRANSFER,448.98,2017-09-03T00:00:00Z
4,fan_out,True,56680,349,577,TRANSFER,610.46,2017-09-06T00:00:00Z
1,fan_in,True,61720,666,53,TRANSFER,967.03,2017-09-30T00:00:00Z
0,fan_in,True,63792,554,9,TRANSFER,125.32,2017-10-10T00:00:00Z
4,fan_out,True,66789,349,956,TRANSFER,543.19,2017-10-25T00:00:00Z
4,fan_out,True,67192,349,533,TRANSFER,611.41,2017-10-27T00:00:00Z
2,fan_in,True,68096,1031,38,TRANSFER,449.55,2017-11-01T00:00:00Z
8,cycle,True,75415,130,397,TRANSFER,164.33,2017-12-12T00:00:00Z
8,cycle,True,75594,626,130,TRANSFER,777.07,2017-12-13T00:00:00Z
8,cycle,True,75696,485,945,TRANSFER,108.68,2017-12-14T00:00:00Z
8,cycle,True,75819,180,485,TRANSFER,476.06,2017-12-15T00:00:00Z
8,cycle,True,75820,1303,626,TRANSFER,706.21,2017-12-15T00:00:00Z
8,cycle,True,76060,397,180,TRANSFER,459.01,2017-12-16T00:00:00Z
2,fan_in,True,80851,552,38,TRANSFER,117.28,2018-01-16T00:00:00Z
2,fan_in,True,90913,972,38,TRANSFER,393.25,2018-04-02T00:00:00Z
2,fan_in,True,100201,265,38,TRANSFER,172.21,2018-06-17T00:00:00Z
5,fan_out,True,103602,117,103,TRANSFER,159.91,2018-07-16T00:00:00Z
