ALERT_ID,ACCOUNT_ID,CUSTOMER_ID,EVENT_DATE,ALERT_TYPE,ACCOUNT_TYPE,IS_SAR
0,1238,C_1238,20170101,fan_in,INDIVIDUAL,YES
0,9,C_9,20170101,fan_in,INDIVIDUAL,YES
0,93,C_93,20170217,fan_in,INDIVIDUAL,YES
0,1131,C_1131,20170405,fan_in,INDIVIDUAL,YES
0,394,C_394,20170522,fan_in,INDIVIDUAL,YES
0,559,C_559,20170708,fan_in,INDIVIDUAL,YES
0,1416,C_1416,20170824,fan_in,INDIVIDUAL,YES
0,554,C_554,20171010,fan_in,INDIVIDUAL,YES
1,108,C_108,20170101,fan_in,INDIVIDUAL,YES
1,53,C_53,20170101,fan_in,INDIVIDUAL,YES
1,731,C_731,20170310,fan_in,INDIVIDUAL,YES
1,8,C_8,20170517,fan_in,INDIVIDUAL,YES
1,894,C_894,20170724,fan_in,INDIVIDUAL,YES
1,666,C_666,20170930,fan_in,INDIVIDUAL,YES
2,424,C_424,20170101,fan_in,INDIVIDUAL,YES
2,38,C_38,20170101,fan_in,INDIVIDUAL,YES
2,867,C_867,20170318,fan_in,INDIVIDUAL,YES
2,331,C_331,20170602,fan_in,INDIVIDUAL,YES
2,177,C_177,20170817,fan_in,INDIVIDUAL,YES
2,1031,C_1031,20171101,fan_in,INDIVIDUAL,YES
2,552,C_552,20180116,fan_in,INDIVIDUAL,YES
2,972,C_972,20180402,fan_in,INDIVIDUAL,YES
2,265,C_265,20180617,fan_in,INDIVIDUAL,YES
3,328,C_328,20170404,fan_out,INDIVIDUAL,YES
3,402,C_402,20170404,fan_out,INDIVIDUAL,YES
3,1055,C_1055,20170502,fan_out,INDIVIDUAL,YES
3,1059,C_1059,20170516,fan_out,INDIVIDUAL,YES
3,699,C_699,20170608,fan_out,INDIVIDUAL,YES
3,644,C_644,20170624,fan_out,INDIVIDUAL,YES
3,463,C_463,20170724,fan_out,INDIVIDUAL,YES
3,831,C_831,20170901,fan_out,INDIVIDUAL,YES
4,349,C_349,20170207,fan_out,INDIVIDUAL,YES
4,1187,C_1187,20170207,fan_out,INDIVIDUAL,YES
4,1007,C_1007,20170730,fan_out,INDIVIDUAL,YES
4,62,C_62,20170903,fan_out,INDIVIDUAL,YES
4,577,C_577,20170906,fan_out,INDIVIDUAL,YES
4,956,C_956,20171025,fan_out,INDIVIDUAL,YES
4,533,C_533,20171027,fan_out,INDIVIDUAL,YES
5,117,C_117,20170328,fan_out,INDIVIDUAL,YES
5,97,C_97,20170328,fan_out,INDIVIDUAL,YES
5,616,C_616,20170616,fan_out,INDIVIDUAL,YES
5,722,C_722,20170619,fan_out,INDIVIDUAL,YES
5,103,C_103,20180716,fan_out,INDIVIDUAL,YES
6,348,C_348,20170526,cycle,INDIVIDUAL,YES
6,796,C_796,20170526,cycle,INDIVIDUAL,YES
6,1264,C_1264,20170527,cycle,INDIVIDUAL,YES
6,154,C_154,20170527,cycle,INDIVIDUAL,YES
6,244,C_244,20170529,cycle,INDIVIDUAL,YES
6,128,C_128,20170605,cycle,INDIVIDUAL,YES
7,24,C_24,20170311,cycle,INDIVIDUAL,YES
7,1167,C_1167,20170311,cycle,INDIVIDUAL,YES
7,593,C_593,20170313,cycle,INDIVIDUAL,YES
7,1393,C_1393,20170313,cycle,INDIVIDUAL,YES
7,176,C_176,20170315,cycle,INDIVIDUAL,YES
7,295,C_295,20170317,cycle,INDIVIDUAL,YES
7,978,C_978,20170320,cycle,INDIVIDUAL,YES
8,130,C_130,20171212,cycle,INDIVIDUAL,YES
8,397,C_397,20171212,cycle,INDIVIDUAL,YES
8,626,C_626,20171213,cycle,INDIVIDUAL,YES
8,485,C_485,20171214,cycle,INDIVIDUAL,YES
8,945,C_945,20171214,cycle,INDIVIDUAL,YES
8,180,C_180,20171215,cycle,INDIVIDUAL,YES
8,1303,C_1303,20171215,cycle,INDIVIDUAL,YES
9,55,C_55,20170317,cycle,INDIVIDUAL,YES
9,220,C_220,20170317,cycle,INDIVIDUAL,YES
9,912,C_912,20170318,cycle,INDIVIDUAL,YES
9,1228,C_1228,20170318,cycle,INDIVIDUAL,YES
9,49,C_49,20170320,cycle,INDIVIDUAL,YES
9,757,C_757,20170320,cycle,INDIVIDUAL,YES
9,241,C_241,20170324,cycle,INDIVIDUAL,YES
9,1311,C_1311,20170324,cycle,INDIVIDUAL,YES
9,1140,C_1140,20170325,cycle,INDIVIDUAL,YES
