step,normal,SAR
0,251,3
1,217,0
2,243,0
3,220,0
4,209,0
5,232,0
6,227,0
7,251,0
8,217,0
9,244,0
10,221,0
11,209,0
12,232,0
13,228,0
14,253,0
15,217,0
16,245,0
17,221,0
18,209,0
19,232,0
20,230,0
21,251,0
22,217,0
23,243,0
24,220,0
25,210,0
26,233,0
27,227,0
28,252,0
29,218,0
30,243,0
31,220,0
32,210,0
33,233,0
34,227,0
35,251,0
36,217,0
37,244,1
38,219,0
39,209,0
40,233,0
41,227,0
42,253,0
43,220,0
44,244,0
45,219,0
46,211,0
47,232,1
48,227,0
49,251,0
50,217,0
51,243,0
52,219,0
53,209,0
54,233,0
55,229,0
56,252,0
57,218,0
58,243,0
59,219,0
60,209,0
61,233,0
62,227,0
63,251,0
64,218,0
65,243,0
66,221,0
67,210,0
68,232,1
69,227,1
70,252,0
71,218,1
72,244,0
73,219,1
74,209,0
75,232,2
76,229,3
77,252,0
78,218,2
79,245,3
80,220,0
81,209,0
82,232,1
83,227,1
84,251,0
85,217,0
86,243,1
87,221,1
88,211,0
89,232,1
90,227,0
91,252,0
92,217,0
93,243,1
94,220,1
95,210,0
96,232,0
97,227,0
98,251,0
99,217,0
100,245,0
101,219,0
102,210,0
103,232,0
104,227,0
105,251,0
106,217,0
107,244,0
108,220,0
109,209,0
110,232,0
111,229,0
112,252,0
113,217,0
114,243,0
115,220,0
116,209,0
117,233,0
118,227,0
119,252,0
120,217,0
121,243,1
122,219,0
123,209,0
124,233,0
125,228,0
126,251,0
127,219,0
128,244,0
129,219,0
130,213,0
131,233,0
132,227,0
133,252,0
134,218,0
135,244,1
136,219,1
137,209,0
138,232,0
139,228,0
140,251,0
141,217,1
142,243,0
143,219,0
144,209,0
145,233,1
146,231,1
147,253,0
148,217,1
149,243,0
150,219,0
151,209,0
152,234,2
153,228,0
154,253,0
155,218,2
156,243,0
157,222,0
158,209,1
159,233,0
160,227,0
161,252,0
162,217,0
163,246,0
164,221,0
165,209,0
166,233,1
167,229,0
168,251,0
169,220,1
170,245,0
171,220,0
172,209,0
173,233,0
174,227,1
175,253,0
176,217,0
177,246,0
178,219,0
179,209,0
180,234,0
181,230,0
182,252,0
183,217,0
184,243,0
185,220,0
186,211,0
187,233,0
188,228,1
189,252,0
190,220,0
191,244,0
192,220,0
193,210,0
194,232,0
195,227,0
196,252,0
197,218,0
198,244,0
199,219,0
200,209,0
201,233,0
202,228,0
203,252,0
204,217,2
205,244,0
206,219,0
207,208,0
208,232,0
209,227,0
210,252,1
211,215,0
212,243,0
213,220,0
214,207,0
215,230,0
216,227,0
217,248,0
218,214,0
219,240,0
220,219,0
221,208,0
222,226,0
223,221,0
224,247,0
225,213,0
226,237,0
227,218,0
228,207,1
229,225,0
230,221,0
231,246,0
232,214,0
233,238,0
234,220,0
235,203,1
236,224,0
237,220,0
238,244,0
239,209,0
240,234,0
241,216,0
242,202,0
243,221,1
244,214,0
245,239,1
246,207,0
247,232,0
248,215,1
249,196,0
250,217,0
251,210,0
252,237,0
253,203,0
254,226,0
255,213,0
256,192,0
257,212,0
258,206,0
259,236,0
260,199,0
261,218,0
262,209,0
263,191,0
264,211,0
265,204,0
266,228,0
267,196,0
268,212,0
269,203,0
270,189,0
271,208,0
272,199,1
273,228,0
274,195,0
275,205,0
276,198,0
277,185,0
278,203,0
279,196,0
280,219,0
281,192,0
282,202,1
283,194,0
284,183,0
285,200,0
286,196,0
287,219,0
288,190,0
289,197,0
290,193,0
291,181,0
292,201,0
293,194,0
294,216,0
295,183,0
296,194,0
297,187,1
298,178,0
299,199,1
300,193,0
301,209,0
302,184,0
303,189,0
304,187,1
305,179,0
306,196,0
307,188,0
308,206,0
309,182,0
310,185,0
311,184,0
312,174,0
313,188,0
314,183,0
315,200,0
316,178,0
317,182,0
318,180,0
319,166,0
320,183,0
321,180,0
322,199,0
323,175,0
324,180,0
325,172,0
326,163,0
327,177,0
328,176,0
329,195,0
330,168,0
331,179,0
332,165,0
333,160,0
334,179,0
335,169,0
336,193,0
337,162,0
338,170,0
339,165,0
340,160,0
341,170,0
342,166,0
343,189,0
344,159,0
345,164,1
346,162,1
347,155,1
348,166,2
349,161,1
350,188,0
351,158,0
352,161,0
353,155,0
354,151,0
355,164,0
356,157,0
357,182,0
358,155,0
359,157,0
360,150,0
361,149,0
362,160,0
363,156,0
364,176,0
365,151,0
366,154,0
367,147,0
368,148,0
369,158,0
370,149,0
371,170,0
372,149,0
373,146,0
374,144,0
375,143,0
376,156,0
377,144,0
378,161,0
379,147,0
380,147,1
381,139,0
382,142,0
383,152,0
384,142,0
385,156,0
386,144,0
387,143,0
388,143,0
389,142,0
390,146,0
391,140,0
392,157,0
393,144,0
394,140,0
395,137,0
396,136,0
397,139,0
398,140,0
399,150,0
400,145,0
401,131,0
402,133,0
403,137,0
404,135,0
405,135,0
406,151,0
407,140,0
408,127,0
409,133,0
410,138,0
411,132,0
412,135,0
413,150,0
414,136,0
415,125,0
416,123,0
417,133,0
418,124,0
419,130,0
420,144,0
421,134,0
422,121,0
423,123,0
424,131,0
425,122,0
426,122,0
427,144,0
428,129,0
429,115,0
430,120,0
431,129,0
432,122,0
433,124,0
434,144,0
435,130,0
436,112,0
437,118,0
438,126,0
439,123,0
440,118,0
441,142,0
442,126,0
443,111,0
444,118,0
445,124,0
446,120,0
447,119,0
448,141,0
449,124,0
450,113,0
451,118,0
452,122,0
453,120,0
454,118,0
455,142,0
456,129,1
457,111,0
458,117,0
459,127,0
460,123,0
461,118,0
462,144,0
463,131,0
464,117,0
465,118,0
466,126,0
467,120,0
468,119,0
469,143,0
470,127,0
471,113,0
472,114,0
473,125,0
474,121,0
475,117,0
476,139,0
477,125,0
478,112,0
479,119,0
480,124,0
481,117,0
482,117,0
483,138,0
484,124,0
485,112,0
486,118,0
487,127,0
488,119,0
489,117,0
490,140,0
491,126,0
492,113,0
493,114,0
494,122,0
495,114,0
496,117,0
497,136,0
498,128,0
499,112,0
500,113,0
501,120,0
502,118,0
503,113,0
504,135,0
505,123,0
506,112,0
507,116,0
508,123,0
509,115,0
510,113,0
511,145,0
512,126,0
513,109,0
514,116,0
515,120,0
516,116,0
517,115,0
518,139,0
519,124,0
520,109,0
521,112,0
522,123,0
523,116,0
524,116,0
525,135,0
526,123,0
527,109,0
528,113,0
529,123,0
530,111,0
531,112,0
532,136,1
533,124,0
534,113,0
535,115,0
536,122,0
537,112,0
538,114,0
539,136,0
540,128,0
541,111,0
542,114,0
543,124,0
544,113,0
545,113,0
546,135,0
547,125,0
548,109,0
549,110,0
550,123,0
551,111,0
552,113,0
553,134,0
554,122,0
555,107,0
556,111,0
557,121,0
558,109,0
559,113,0
560,133,0
561,122,1
562,110,0
563,113,0
564,121,0
565,107,0
566,108,0
567,134,0
568,121,0
569,113,0
570,118,0
571,121,0
572,111,0
573,109,0
574,134,0
575,121,0
576,112,0
577,111,0
578,116,0
579,109,0
580,110,0
581,132,0
582,123,0
583,108,0
584,113,0
585,118,0
586,114,0
587,112,0
588,138,0
589,120,0
590,107,0
591,111,0
592,120,0
593,108,0
594,110,0
595,132,0
596,124,0
597,106,0
598,114,0
599,124,0
600,112,0
601,113,0
602,132,0
603,125,0
604,107,0
605,110,0
606,123,0
607,107,0
608,106,0
609,131,0
610,122,0
611,112,0
612,114,0
613,118,0
614,108,0
615,107,0
616,133,0
617,117,0
618,108,0
619,109,0
620,121,0
621,106,0
622,108,0
623,128,0
624,119,0
625,104,0
626,112,0
627,121,0
628,114,0
629,111,0
630,130,0
631,120,0
632,103,0
633,112,0
634,120,0
635,112,0
636,107,0
637,132,0
638,116,0
639,102,0
640,115,0
641,115,0
642,107,0
643,109,0
644,132,0
645,118,0
646,101,0
647,112,0
648,118,0
649,108,0
650,106,0
651,127,0
652,117,0
653,97,0
654,107,0
655,124,0
656,102,0
657,104,0
658,130,0
659,111,0
660,103,0
661,106,0
662,117,0
663,98,0
664,113,0
665,125,0
666,116,0
667,102,0
668,105,0
669,116,0
670,99,0
671,112,0
672,124,0
673,115,0
674,100,0
675,103,0
676,119,0
677,96,0
678,103,0
679,124,0
680,116,0
681,96,0
682,108,0
683,120,0
684,97,0
685,104,0
686,118,0
687,111,0
688,96,0
689,106,0
690,118,0
691,98,0
692,101,0
693,120,0
694,112,0
695,97,0
696,107,0
697,122,0
698,103,0
699,99,0
700,122,0
701,110,0
702,98,0
703,105,0
704,113,0
705,95,0
706,97,0
707,121,0
708,114,0
709,97,0
710,108,0
711,113,0
712,98,0
713,99,0
714,123,0
715,115,0
716,96,0
717,105,0
718,118,0
719,92,0
