step,type,amount,nameOrig,oldbalanceOrig,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isSAR,alertID
0,TRANSFER,501.95,982,79229.07,78727.12,23,99168.24,99670.19,0,-1
0,TRANSFER,248.9,1107,54897.73,54648.83,104,80478.67,80727.57,0,-1
0,TRANSFER,552.61,659,64109.98,63557.36,107,99235.77,99788.39,0,-1
0,TRANSFER,945.1,620,85630.0,84684.89,10,92168.75,93113.85,0,-1
0,TRANSFER,604.33,504,59028.73,58424.39,103,86399.92,87004.25,0,-1
0,TRANSFER,304.32,951,61292.26,60987.94,26,55712.14,56016.47,0,-1
0,TRANSFER,764.24,1372,63507.37,62743.12,1070,63965.1,64729.34,0,-1
0,TRANSFER,186.14,1372,62743.12,62556.98,20,72409.24,72595.39,0,-1
0,TRANSFER,276.35,1314,61689.28,61412.93,41,97577.92,97854.28,0,-1
0,TRANSFER,263.22,403,71394.77,71131.54,755,55226.62,55489.85,0,-1
0,TRANSFER,851.56,1439,50897.28,50045.71,79,93633.25,94484.82,0,-1
0,TRANSFER,653.69,973,93027.34,92373.64,71,50369.87,51023.57,0,-1
0,TRANSFER,669.05,350,77809.97,77140.92,52,63002.92,63671.98,0,-1
0,TRANSFER,489.89,616,51775.67,51285.77,9,88834.28,89324.17,0,-1
0,TRANSFER,272.9,277,53247.35,52974.45,452,83632.39,83905.29,0,-1
0,TRANSFER,399.67,1324,58931.32,58531.64,40,70798.81,71198.48,0,-1
0,TRANSFER,193.19,1324,58531.64,58338.44,31,70795.7,70988.9,0,-1
0,TRANSFER,975.4,1324,58338.44,57363.03,40,71198.48,72173.89,0,-1
0,TRANSFER,309.05,599,86615.78,86306.73,99,97715.52,98024.57,0,-1
0,TRANSFER,236.09,41,97854.28,97618.19,29,85092.22,85328.32,0,-1
0,TRANSFER,496.85,41,97618.19,97121.33,29,85328.32,85825.17,0,-1
0,TRANSFER,426.93,613,69646.97,69220.03,358,76264.85,76691.78,0,-1
0,TRANSFER,615.19,424,74390.43,73775.24,38,72121.68,72736.88,1,2
0,TRANSFER,200.48,503,97101.13,96900.64,12,73205.68,73406.17,0,-1
